2. TRIFD,34. CHEMICAL
00620NTLLSDSTRE,"['Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Nitric acid', 'Phosphoric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00620RMCCH83EST,['Phosphoric acid']
00621MRCNCCALLE,"['Chlorine', 'Polychlorinated alkanes (C10-C13)']"
00621SLNDCLUCHE,"['Copper', 'Methyl isobutyl ketone', 'n-Hexane']"
00621SVNPBRD177,['Ammonia']
00623CBRJWROAD3,"['Arsenic', 'Arsenic compounds', 'Chromium', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Copper', 'Copper compounds']"
00623WSTNGRD103,['Copper']
00625BNNRPPRRD1,"['Acetone', 'Ammonia', 'Ethylene glycol', 'Toluene', 'Xylene (mixed isomers)']"
00625RTTNSPR1KM,"['Toluene', 'Xylene (mixed isomers)']"
00625THCLRCARR7,['Chlorine']
00626MTSSHPR1KM,"['Dichloromethane', 'Methanol', 'Methyl isobutyl ketone', 'Toluene']"
00626MYLNNRD156,"['1,2-Dichloroethane', 'Acetone', 'Acetonitrile', 'Chloroform', 'Methanol', 'Toluene', 'Xylene (mixed isomers)']"
00626QLTYLSTATE,"['Chlorine', 'Cyanide compounds', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Nitric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Zinc (fume or dust)']"
00627PNMSHPRRD1,"['Acetone', 'Methyl ethyl ketone', 'Toluene']"
00628LLLLY65THI,"['Ammonia', 'Ammonium sulfate (solution)', 'Dichloromethane', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Methanol', 'Nitrate compounds (water dissociable; reportable only when in aqueous solution)', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00629CHLLNRD874,"['Chromium', 'Copper']"
00630BXTRHBOSAN,"['Chlorine', 'Di(2-ethylhexyl) phthalate', 'Nitric acid', 'Phosphoric acid']"
00630CRWNCKM126,"['Certain glycol ethers', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Manganese compounds', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'n-Butyl alcohol']"
00630TCHRFRD3KM,"['Dichloromethane', 'Toluene diisocyanate (mixed isomers)']"
00630VRPSPRD887,"['Certain glycol ethers', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00630WDTRT65INF,"['Arsenic', 'Chromium', 'Copper']"
00632BCRDCSTREE,"['Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00632CRBBNSTATE,"['Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00632MRCNNPOBOX,"['Certain glycol ethers', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Manganese', 'Phosphoric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'n-Butyl alcohol']"
00632PRTRCROAD8,"['Acetone', 'Ammonia']"
00632PTRLMURBIN,['Asbestos (friable)']
00633LYCMPROAD7,"['Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00634BCTNDLOT6V,['Methanol']
