2. TRIFD,34. CHEMICAL
30533THTRR300TO,"['Chromium', 'Methanol', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30534LVRSH62IND,"['Ethylene glycol', 'Methyl ethyl ketone', 'Toluene', 'Xylene (mixed isomers)']"
30540CRRNCHWY28,['Certain glycol ethers']
30540GLDKSINDUS,"['Ammonia', 'Chlorine']"
30542BRBMRWESTW,"['Certain glycol ethers', 'Zinc compounds']"
30542CMBST4515C,"['1,1,1-Trichloroethane', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30542GLDKSUSHWY,"['Copper compounds', 'Zinc compounds']"
30542NRTNC4600C,"['1,1,1-Trichloroethane', 'Copper', 'Copper compounds']"
30542RLNCL4349A,"['Copper', 'Ethylbenzene', 'Xylene (mixed isomers)']"
30542SKFBRRADFO,"['1,1,1-Trichloroethane', 'Chromium', 'Copper', 'Manganese', 'Methanol', 'Nickel']"
30564FLDLFGAHWY,"['Ammonia', 'Chlorine', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30566MRNPR3915O,"['Certain glycol ethers', 'Copper', 'Cyclohexane', 'Methyl ethyl ketone', 'Toluene']"
30566PRDCT3911O,"['1,1,1-Trichloroethane', 'Certain glycol ethers', 'Methyl ethyl ketone', 'Toluene']"
30566PRMXP3435O,['Zinc compounds']
30566THGLD4261W,"['1-(3-Chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride', '3-Iodo-2-propynyl butylcarbamate', 'Ammonia', 'Certain glycol ethers', 'Ethylene glycol', 'Zinc compounds']"
30566WYNFR3456O,"['Ammonia', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30567MSSNFPOBOX,['Phosphoric acid']
30567NDSTR265JO,"['Antimony compounds', 'Decabromodiphenyl oxide']"
30567SYDLC244JO,"['Methanol', 'Phthalic anhydride']"
30567WYNFR977WA,['Ammonia']
30568BRLNGROUTE,"['Chlorine', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30575CNGRP1184M,['Ammonia']
30577CTSCLROSEL,"['Ammonium nitrate (solution)', 'Nitrate compounds (water dissociable; reportable only when in aqueous solution)', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30577FLDLFGA145,"['Chlorine', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30577FRRCRMEADO,"['Antimony compounds', 'Barium compounds (except for barium sulfate (CAS No. 7727-43-7))', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Cobalt compounds', 'Manganese compounds', 'Nickel compounds', 'Zinc compounds']"
30577GLBRTLIBER,"['Barium compounds (except for barium sulfate (CAS No. 7727-43-7))', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30577GMSTHHWY12,"['Toluene', 'Xylene (mixed isomers)']"
30577PTTRSHWY12,"['Chromium', 'Copper', 'Manganese', 'Nickel']"
30577RCCHMINDUS,"['Dichloromethane', 'Methanol', 'Methyl ethyl ketone', 'Methyl isobutyl ketone', 'Toluene', 'Xylene (mixed isomers)', 'n-Butyl alcohol']"
30577RLNCCMEADO,"['1,1,1-Trichloroethane']"
30577SNYDR419AV,"['Methanol', 'Methyl ethyl ketone', 'Methyl isobutyl ketone', 'Naphthalene', 'Toluene', 'n-Butyl alcohol', 'o-Xylene']"
30577TNRSPMEADO,['Nitric acid']
30577VRMNTMEADO,"['Certain glycol ethers', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Sodium nitrite']"
30577WGHMPRTE4B,['Acetone']
30601CRRRT700OL,"['Chlorodifluoromethane (HCFC-22)', 'Copper', 'Ethylene glycol', 'Monochloropentafluoroethane (CFC-115)', 'Phosphoric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Zinc compounds']"
30601DLMRW1555O,"['Acetone', 'Methyl ethyl ketone', 'Naphthalene', 'Toluene']"
30601PTRSN600OL,['Xylene (mixed isomers)']
30601RLNCLCOLLI,"['Chromium', 'Copper', 'Nickel', 'Xylene (mixed isomers)']"
30601SBRDF898BA,"['Ammonia', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30601TNSPR695IN,['Copper']
30603CHMPN600DA,['Certain glycol ethers']
30603LSNPCPOBOX,"[""4,4'-Methylenedi(phenyl isocyanate)"", 'Diisocyanates', 'Formaldehyde', 'Methanol']"
30603NRMCN1440O,"['Ethylbenzene', 'Ethylene glycol', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Methanol', 'Methyl ethyl ketone', 'Methyl isobutyl ketone', 'N,N-Dimethylformamide', 'Phosphoric acid', 'Pyridine', 'Toluene', 'Xylene (mixed isomers)']"
30603SBRDFTALLA,"['Arsenic compounds', 'Copper compounds', 'Manganese compounds', 'Zinc compounds']"
30605KSRST740WI,['Manganese compounds']
30613CRTNT425AT,"['Ammonia', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Formaldehyde', 'Phenol']"
30613GNRLT100NE,"['Ammonia', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Trichloroethylene']"
30613LVRRB215ON,"['Thiram', 'Zinc compounds']"
30613WSTNGNEWTO,"['1,2,4-Trimethylbenzene', 'Chromium', 'Copper', 'Cresol (mixed isomers)', 'Manganese', 'Nickel', 'Phenol', 'Xylene (mixed isomers)']"
30620HRRSNSTATE,['Ammonia']
30622MRFNS235CO,['Certain glycol ethers']
30622RCTCL375CO,"['1,1,1-Trichloroethane', 'Dichloromethane']"
30631GRGWD683LE,"['Arsenic compounds', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Copper compounds']"
30635MRTNF999WA,"['1,1-Dichloro-1-fluoroethane (HCFC-141b)', ""4,4'-Methylenedi(phenyl isocyanate)"", 'Diisocyanates']"
30642CNXFG1120P,"['Di(2-ethylhexyl) phthalate', 'Lead compounds']"
30642LCNNGWILLO,"['Aluminum (fume or dust)', 'Chlorine', 'Copper', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Manganese']"
30643HRTWL415SM,['Ethylene glycol']
30643HRTWLUS29I,"['Ammonium nitrate (solution)', 'Certain glycol ethers']"
30643MNRTQ200MC,"['Certain glycol ethers', 'Chromium', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Ethylbenzene', 'Manganese', 'Methyl ethyl ketone', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Xylene (mixed isomers)', 'n-Butyl alcohol']"
30643MRLCRBOWMA,"['Hydrogen fluoride', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30643NVFCM300FI,"[""4,4'-Methylenedi(phenyl isocyanate)"", 'Chromium', 'Copper', 'Diisocyanates', 'Manganese', 'Nickel', 'Styrene']"
30650BRDMN1310M,"['Chlorodifluoromethane (HCFC-22)', 'Copper']"
30650GRGPC4891M,"['Diisocyanates', 'Methanol']"
30650PRKSC1630N,"['1,1,1-Trichloroethane', 'Acetone', 'Dichloromethane', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Methanol', 'Methyl ethyl ketone', 'Methyl isobutyl ketone', 'Toluene']"
30650WLLNG1251L,"[""4,4'-Methylenedi(phenyl isocyanate)"", 'Certain glycol ethers', 'Methyl ethyl ketone', 'Methyl isobutyl ketone', 'Toluene', 'Xylene (mixed isomers)']"
30655NVRSLVINES,"['Barium compounds (except for barium sulfate (CAS No. 7727-43-7))', 'Zinc compounds']"
30662JHNSN545OL,['Zinc compounds']
30669NVRSL1INDU,"['Acetone', 'Dimethyl phthalate', 'Methyl methacrylate', 'Styrene']"
30673CNCRDCONCO,"['Biphenyl', 'Formaldehyde', 'Methanol', 'Phosphoric acid']"
30673FDRLP371HA,['Methanol']
30673WLKSW216BU,"['Arsenic compounds', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Copper compounds']"
30677LLDTBBARNE,"['Antimony compounds', 'Copper', 'Lead compounds', 'Zinc compounds']"
30680LKRLCINDUS,"['1,4-Dioxane', 'Acetaldehyde', 'Certain glycol ethers', 'Chloroacetic acid', 'Diethanolamine', 'Dimethylamine', 'Epichlorohydrin', 'Ethylene glycol', 'Ethylene oxide', 'Methanol', 'Methyl acrylate', 'Methyl isobutyl ketone', 'Phosphoric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30680MNVLLINDUS,"['Ammonia', 'Ammonium sulfate (solution)', 'Chromium', 'Formaldehyde', 'Phenol']"
30680STPNCOLDHI,"['Ammonia', 'Certain glycol ethers', 'Dimethyl sulfate', 'Ethylene glycol', 'Ethylene oxide', 'Methanol', 'Propylene oxide', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'n-Butyl alcohol']"
30680THRLLHIGHW,"['Barium compounds (except for barium sulfate (CAS No. 7727-43-7))', 'Certain glycol ethers', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Dibutyl phthalate', 'Lead compounds', 'Manganese', 'Manganese compounds', 'Methyl ethyl ketone', 'Methyl isobutyl ketone', 'Nickel compounds', 'Xylene (mixed isomers)', 'Zinc compounds']"
30683NKNSH1225V,['Trichloroethylene']
30701BCKNG129NA,"['Ammonia', 'Antimony compounds', 'Decabromodiphenyl oxide', 'Zinc compounds']"
30701BRYNSMAULD,['Ammonia']
30701CHTCSHWY41,"[""4,4'-Methylenedi(phenyl isocyanate)"", 'Diisocyanates']"
30701CLHNP1139N,"['Antimony compounds', 'Di(2-ethylhexyl) phthalate', 'Zinc compounds']"
30701CLRMSFAIRS,"['Ammonia', 'Biphenyl', 'Phosphoric acid']"
30701FMPRD350BE,"['Diisocyanates', 'Zinc compounds']"
30701GLDKSINDUS,"['Copper compounds', 'Manganese compounds', 'Zinc compounds']"
30701HNKLS923MA,"['Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Hydrogen fluoride', 'Manganese compounds', 'Nickel compounds', 'Nitric acid', 'Phosphoric acid', 'Zinc compounds']"
30701HNTSM1655H,"['Bis(2-ethylhexyl) adipate', 'Certain glycol ethers', 'Zinc compounds']"
30701HRZNNNINDU,['Phosphoric acid']
30701KBLCC501RI,"['Methyl ethyl ketone', 'Nickel', 'Xylene (mixed isomers)']"
30701LCNCXNORTH,"['Antimony compounds', 'Decabromodiphenyl oxide', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Zinc compounds']"
30701MHWKNUNION,['Methanol']
30701RYLRB197RO,"['Di(2-ethylhexyl) phthalate', 'Dibutyl phthalate', 'Diisocyanates']"
30701SPRNGNINDU,"['Ammonium sulfate (solution)', 'Biphenyl', 'Phosphoric acid', 'Zinc compounds']"
30701TBRDM100MA,"['Certain glycol ethers', 'Methyl ethyl ketone', 'Toluene', 'Xylene (mixed isomers)', 'n-Butyl alcohol']"
30701THGDY1601H,"['1,3-Butadiene', 'Ammonia', 'Styrene']"
30701TRRNG2118U,"['Chromium', 'Methanol', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30701VNTGN380MA,['Zinc compounds']
30701WLLCC1844H,"['Antimony compounds', 'Molybdenum trioxide', 'Zinc compounds']"
30701XLCRP237NA,"['1,1,1-Trichloroethane', 'Ammonia', 'Methanol', 'Toluene']"
30703CRRGN341BE,"['Certain glycol ethers', 'Phosphoric acid']"
30703QLTYF355OL,['Biphenyl']
30705DMNDRDUVAL,"['Ammonia', 'Dichloromethane', 'Methanol']"
30705SCHLLHWY41,['Zinc compounds']
30705SHWND616DU,['Diisocyanates']
30707CRYSTLONGS,['Ammonia']
30707RCHHLROUTE,"['1,3-Butadiene', 'Acrylamide', 'Acrylic acid', 'Acrylonitrile', 'Ammonia', 'Maleic anhydride', 'Methanol', 'Methyl methacrylate', 'Styrene', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30720CHPCS1702K,['Ethylene glycol']
30720CNNGR433SO,['Ammonia']
30720CPTLD300CR,"['1,1,1-Trichloroethane', 'Tetrachloroethylene', 'Toluene', 'n-Hexane']"
30720CRNTNCORON,"['Phosphoric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30720CSTMC204WE,"[""4,4'-Methylenedi(phenyl isocyanate)"", 'Diisocyanates']"
30720CSTMC401JO,"[""4,4'-Methylenedi(phenyl isocyanate)"", 'Diisocyanates']"
30720CTCHN310BR,"['1,1,1-Trichloroethane', 'Acetone', 'Cyclohexane', 'Dichloromethane', 'Methanol', 'Tetrachloroethylene', 'Toluene', 'Trichloroethylene', 'Xylene (mixed isomers)', 'n-Hexane']"
30720DWCHM1468P,"['1,3-Butadiene', '1-Chloro-1,1-difluoroethane (HCFC-142b)', 'Acrylic acid', 'Ammonia', 'Chloroethane', 'Ethylbenzene', 'Styrene', 'Vinylidene chloride']"
30720FRMND134PH,"['Ammonia', 'Ammonium sulfate (solution)', 'Certain glycol ethers', 'Cyanide compounds', 'Ethylene glycol', 'Formic acid', 'Phosphoric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Zinc compounds']"
30720LDDNM2001A,"['Methanol', 'Phosphoric acid', 'Zinc compounds']"
30720LNMRC705CO,"['Biphenyl', 'Certain glycol ethers']"
30720MCKLN413VI,"['1,1,1-Trichloroethane', 'Methanol', 'Toluene', 'Xylene (mixed isomers)']"
30720MNKTM200MU,"['Acetone', 'Antimony compounds', 'Certain glycol ethers', 'Decabromodiphenyl oxide', 'Methanol', 'Methyl ethyl ketone', 'Styrene', 'Toluene', 'n-Butyl alcohol']"
30720MSTRP103CA,"['Biphenyl', 'Phosphoric acid']"
30720PLYCH2305D,"['Acetone', 'Ammonia', 'Methanol', 'Methyl ethyl ketone', 'Phosphoric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30720PLYPC109PO,['Zinc compounds']
30720PRCHM117CA,"['Ethyl acrylate', 'Methanol', 'Methyl acrylate']"
30720QNCRP2305L,"['Certain glycol ethers', 'Methanol']"
30720SHWND1020R,"['Ammonia', 'Ammonium sulfate (solution)', 'Certain glycol ethers', 'Methanol', 'Phosphoric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30720SHWNDEASTF,"[""4,4'-Methylenedi(phenyl isocyanate)"", 'Certain glycol ethers', 'Diisocyanates', 'Methanol']"
30720SHWNDHAMIL,"['Ammonia', 'Ammonium sulfate (solution)', 'Certain glycol ethers', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Methanol', 'Phosphoric acid']"
30720SHWNDHWY61,"['Ammonia', 'Ammonium sulfate (solution)', 'Methanol']"
30720SHWNDLAKEL,"['Certain glycol ethers', 'Methanol', 'Phosphoric acid']"
30720SHWNDSHAMI,"['Ammonia', 'Ammonium sulfate (solution)', 'Certain glycol ethers', 'Methanol', 'Phosphoric acid']"
30720SHWNDSOUTH,"['Methanol', 'Phosphoric acid']"
30720SHWNDSPRIN,"['Certain glycol ethers', 'Methanol', 'Phosphoric acid']"
30720SLMCR1401U,['Ammonium sulfate (solution)']
30720STRNPHWY41,"['Copper compounds', 'Manganese', 'Zinc (fume or dust)']"
30720TXLBS200FE,"['Ammonium sulfate (solution)', 'Certain glycol ethers', 'Diethanolamine']"
30720TXTLR1300T,"[""4,4'-Methylenedi(phenyl isocyanate)"", 'Ammonia', 'Antimony compounds', 'Carbon disulfide', 'Dichloromethane', 'Dimethylamine', 'Maleic anhydride', 'Zinc compounds']"
30720WRLDC2100S,"[""4,4'-Methylenedi(phenyl isocyanate)""]"
30720WRLDC431SO,['Dichloromethane']
30721BLFBR600FI,"['Antimony compounds', 'Barium', 'Chromium', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Copper', 'Copper compounds', 'Lead', 'Lead compounds', 'Zinc compounds']"
30721BLNTD950RI,"['Dichloromethane', 'Diisocyanates']"
30721DLTNF4959S,"[""4,4'-Methylenedi(phenyl isocyanate)"", 'Butyl benzyl phthalate', 'Diisocyanates']"
30721FBRCH1804D,"['Biphenyl', 'Certain glycol ethers', 'Diethanolamine', 'Maleic anhydride']"
30721MNFCT1200B,"['1,2,4-Trimethylbenzene', 'Biphenyl', 'Certain glycol ethers', 'Diethanolamine', 'Maleic anhydride', 'Methanol', 'Phosphoric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30721MRCNM1202D,"['1,2,4-Trichlorobenzene', '1,2,4-Trimethylbenzene', 'Biphenyl', 'Certain glycol ethers', 'Cumene', 'Ethylene glycol', 'Maleic anhydride', 'Phosphoric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Xylene (mixed isomers)']"
30721STHST110EA,['Methyl ethyl ketone']
30722CHMTC1904S,"['Ammonium sulfate (solution)', 'Biphenyl']"
30722CPTLD209RO,"['1,1,1-Trichloroethane', 'Toluene']"
30722DVNCD424SS,"['1,1,1-Trichloroethane', 'Dichloromethane', 'Methanol', 'Methyl ethyl ketone', 'Tetrachloroethylene', 'Toluene', 'n-Hexane']"
30722GNRLL1206L,"['1,1-Dichloro-1-fluoroethane (HCFC-141b)', ""4,4'-Methylenedi(phenyl isocyanate)"", 'Chlorodifluoromethane (HCFC-22)', 'Diisocyanates', 'Trichlorofluoromethane (CFC-11)', 'Triethylamine', 'Zinc compounds']"
30722LNMRC2474L,"['Certain glycol ethers', 'Phosphoric acid']"
30722LYNDL1338C,"['Ethylbenzene', 'Isopropyl alcohol (only persons who manufacture by the strong acid process are subject, no supplier notification)', 'Methanol', 'Phosphoric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'p-Xylene']"
30722RRWNGSOUTH,"['Ammonia', 'Biphenyl', 'Certain glycol ethers', 'Diethyl sulfate', 'Methanol', 'Phosphoric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Xylene (mixed isomers)']"
30722STLRN2220S,['Methyl isobutyl ketone']
30722STNDR1010V,"['Ammonia', 'Butyl benzyl phthalate', 'Certain glycol ethers', 'Maleic anhydride', 'Methanol', 'Methyl acrylate', 'Zinc compounds']"
30722WHTCN901SM,"['Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Xylene (mixed isomers)']"
30725YTSBLFLINS,"['Certain glycol ethers', 'Methanol']"
30728BLBRDSHATT,"['Ethylene glycol', 'Toluene', 'Xylene (mixed isomers)', 'n-Hexane']"
30728BSTRBRTE1B,"['1,1,1-Trichloroethane']"
30728RNLFGBROOM,['Certain glycol ethers']
30728RPRCR1507B,"['Barium compounds (except for barium sulfate (CAS No. 7727-43-7))', 'Chromium', 'Cobalt compounds', 'Manganese', 'Manganese compounds', 'Nickel', 'Nickel compounds', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Zinc compounds']"
30730LYRLYRTE1H,"['Ammonia', 'Ammonium sulfate (solution)', 'Biphenyl', 'Methanol', 'Phosphoric acid']"
30731BSTMNHIGHW,"['Acetone', 'Butyl benzyl phthalate', 'Cadmium compounds', 'Lead compounds', 'Methanol', 'Nitrate compounds (water dissociable; reportable only when in aqueous solution)', 'Xylene (mixed isomers)', 'Zinc compounds']"
30734LLDNV1405P,"['Chlorine', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30735TXTLR3767H,"[""4,4'-Methylenedi(phenyl isocyanate)""]"
30736BBBLMHIGHW,"['Arsenic compounds', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Copper compounds']"
30736RCXXXRTE83,"['Acetone', 'Propylene']"
30736SLMCRI75AT,['Methanol']
30736STHRNRTE2A,['Xylene (mixed isomers)']
30741BRNRS1200C,"['Chromium', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Manganese', 'Manganese compounds', 'Nickel', 'Nickel compounds', 'Xylene (mixed isomers)']"
30741PYRMD1629L,"['Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30747MGNDSRT1BO,"['Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30752BLLMS300IN,"['Dichloromethane', 'Xylene (mixed isomers)']"
30752HDSNNUSHWY,['Copper']
30753MNTVROLDUS,"['Ammonia', 'Certain glycol ethers', 'Copper compounds', 'Ethylene glycol', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Sodium nitrite', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30755CNGRF402MA,"['Copper compounds', 'Manganese compounds', 'Zinc compounds']"
30757BYRNSRTE1B,['Styrene']
30757PLYMRROUTE,['Styrene']
30802PLLRDHWY10,"['Arsenic compounds', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Copper compounds']"
30809KRGRR4301E,"['Naphthalene', 'Toluene', 'Xylene (mixed isomers)']"
30809SBTTR653IN,"['Dichloromethane', 'Lead', 'Lead compounds', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30813GWNDS5000W,"[""4,4'-Methylenedi(phenyl isocyanate)"", 'Chromium', 'Diisocyanates', 'Manganese', 'Nickel', 'Phosphoric acid', 'Toluene']"
30813MTKTCBOX28,['Methyl isobutyl ketone']
30824GWTHM968FE,"['Chromium', 'Nickel', 'Urethane']"
30824HVRTRWIRER,"['Arsenic compounds', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Copper compounds', 'Phosphoric acid']"
30824KNGSLRTE3B,['Acetone']
30824NTDTC1884W,"['Ammonia', 'Phenol', 'Zinc compounds']"
30824THMSNOLDTA,"['Formaldehyde', 'Methanol']"
30824VGRTN148VI,"['Copper compounds', 'Manganese compounds', 'Zinc compounds']"
30828JBCNCMAYFI,"['Methyl isobutyl ketone', 'Toluene', 'Xylene (mixed isomers)']"
30828WHLND1117T,"['Certain glycol ethers', 'Chromium', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Copper', 'Copper compounds', 'Diisocyanates', 'Lead', 'Lead compounds', 'Manganese', 'Manganese compounds', 'N-Methyl-2-pyrrolidone', 'Phenol', 'Triethylamine', 'Zinc compounds']"
30830GLBBS1201G,['Manganese']
30830KWKST770MI,['Copper']
30833GLTNC809BR,['Formaldehyde']
30833LWSSTUSHWY,['Xylene (mixed isomers)']
30901CNDST727LA,['Ammonia']
30901GSTWD115LA,"['Arsenic compounds', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Copper compounds']"
30901PNDRSCOOKI,"['Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30901PRDTCCOLUM,"['Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30901RCHRD960MO,['n-Hexane']
30901RCNDS1435C,['Ammonia']
30901SHPRP1301N,['Ammonia']
30901SRLMN1750L,"['Acetone', 'Ammonia', 'Dimethyl sulfate', 'Ethylene glycol', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Methanol', 'N,N-Dimethylformamide', 'N-Methyl-2-pyrrolidone', 'Nickel compounds', 'Phosphoric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Toluene', 'Triethylamine', 'n-Butyl alcohol']"
30903BLCKMPOBOX,"['Chloroethane', 'Chloromethane', 'Dichloran', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30903CLMBN23COL,"['Ammonia', 'Ammonium nitrate (solution)', 'Ammonium sulfate (solution)', 'Chlorine', 'Chromium', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Copper', 'Copper compounds', 'Diethanolamine', 'Formaldehyde', 'Methanol', 'Nickel', 'Nickel compounds', 'Nitrate compounds (water dissociable; reportable only when in aqueous solution)', 'Nitric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Zinc (fume or dust)', 'Zinc compounds']"
30903DSMCHNO1CO,"['Ammonia', 'Benzene', 'Chlorine', 'Copper compounds', 'Cyclohexane', 'Cyclohexanol', 'Nitrate compounds (water dissociable; reportable only when in aqueous solution)', 'Nitric acid', 'Phenol', 'Phosphoric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Toluene', 'Zinc compounds']"
30903DSMRS31COL,"['Ethylene glycol', 'Xylene (mixed isomers)', 'n-Butyl alcohol']"
30903LQDCRCOLUM,['Ammonia']
30903MDRNW300PR,['Styrene']
30903THNTR1750L,"['Ammonia', 'Chlorine', 'Chloromethane', 'Formic acid', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Methanol', 'Phenol', 'Phosphoric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30904JHNPK1701G,['Sodium nitrite']
30904SBLYD1717G,['Ethylene glycol']
30904SSLTD2111H,"['1,1,1-Trichloroethane', 'Methyl ethyl ketone']"
30905HQSRMENVNA,['Chlorine']
30906BBCCK2102O,['Aluminum oxide (fibrous forms)']
30906BKRHY1812T,['Styrene']
30906GRGCRNEWSA,"['Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Hydrogen fluoride', 'Manganese', 'Manganese compounds']"
30906GSTNW2434H,"['Methanol', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'n-Butyl alcohol']"
30906HRNTC2360D,"['Chlorine', 'Chlorine dioxide', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30906KNBLN2432D,"['Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30906KNDLL1816M,"['Ethylene oxide', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
30906MNSNT1610M,"['Phosphoric acid', 'Phosphorus (yellow or white)', 'Propylene']"
30906NTLPP4206M,"['Acetaldehyde', 'Barium compounds (except for barium sulfate (CAS No. 7727-43-7))', 'Formaldehyde', 'Manganese compounds', 'Methanol', 'Methyl ethyl ketone', 'Nickel compounds', 'Zinc compounds']"
30906NTRNT3005I,"['Acetaldehyde', 'Butyraldehyde', 'Certain glycol ethers', 'Ethylbenzene', 'Ethylene glycol', 'Methyl ethyl ketone', 'N,N-Dimethylformamide', 'Phosphoric acid', 'Toluene', 'sec-Butyl alcohol']"
30906PRCMPMARVI,"['Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
